,number_of_vehicles_involved,number_of_casualties,accident_severity,time_hours,day_of_week_encoded,driving_experience_encoded,educational_level_encoded,age_band_of_casualty_encoded,service_year_of_vehicle_encoded,age_band_of_driver_encoded,casualty_severity_encoded,cause_of_accident_encoded,type_of_vehicle_encoded,area_accident_occured_encoded,vehicle_movement_encoded,road_allignment_encoded,type_of_collision_encoded,pedestrian_movement_encoded,weather_conditions_encoded,types_of_junction_encoded,lanes_or_medians_encoded,road_surface_type_encoded,owner_of_vehicle_encoded,road_surface_conditions_encoded,casualty_class_encoded,light_conditions_encoded,sex_of_casualty_encoded,sex_of_driver_encoded
0,2,2,Slight Injury,17,1,0,0,5,3,0,3,9,0,9,2,5,3,5,2,1,5,0,3,0,3,3,2,1
1,2,2,Slight Injury,17,1,3,4,5,2,1,3,16,11,6,2,5,8,5,2,1,4,0,3,0,3,3,2,1
2,2,2,Serious Injury,17,1,0,4,1,5,0,2,0,5,1,2,9,2,5,2,1,6,0,3,0,0,3,1,1
3,2,2,Slight Injury,1,3,2,4,0,5,0,2,1,11,6,2,6,8,5,2,7,6,2,0,0,2,0,0,1
4,2,2,Slight Injury,1,3,1,4,5,2,0,3,16,17,4,2,5,8,5,2,7,6,0,3,0,3,0,2,1
5,1,1,Slight Injury,14,0,6,5,1,5,1,2,14,17,13,10,9,8,5,2,7,5,5,4,0,0,3,1,1
6,1,1,Slight Injury,17,6,1,4,0,5,0,2,13,0,9,3,5,8,5,2,0,4,5,3,0,0,3,0,1
7,2,1,Slight Injury,17,0,1,4,5,3,0,3,12,0,9,10,5,8,5,2,7,6,0,0,0,3,3,2,1
8,2,1,Slight Injury,17,0,3,4,4,0,0,2,1,5,4,2,5,3,0,2,7,6,2,3,0,2,3,1,1
9,2,1,Serious Injury,17,0,0,4,0,1,0,2,9,0,9,10,5,3,5,2,7,4,0,3,0,1,3,1,1
10,2,1,Serious Injury,14,2,0,0,5,5,0,3,0,10,9,9,5,0,5,2,1,6,0,3,0,3,3,2,1
11,2,1,Serious Injury,14,2,5,0,0,5,1,2,11,0,6,2,5,0,5,2,1,4,2,3,0,0,3,1,1
12,2,2,Slight Injury,17,4,0,4,5,1,0,3,10,11,6,2,0,0,5,2,1,0,0,3,0,3,3,2,1
13,2,2,Slight Injury,17,4,2,4,5,3,1,3,12,5,6,12,5,0,5,2,1,6,0,3,0,3,3,2,1
14,2,2,Serious Injury,17,4,3,4,0,0,1,2,10,0,6,2,0,0,5,2,1,4,0,3,0,0,3,0,1
15,2,3,Serious Injury,22,1,3,4,5,5,0,3,10,4,6,2,5,0,5,4,7,1,0,3,3,3,0,2,0
16,2,3,Slight Injury,22,1,2,4,5,5,0,3,9,10,6,2,5,0,5,4,7,4,0,3,3,3,0,2,1
17,2,3,Serious Injury,22,1,1,1,5,5,0,3,1,10,6,2,5,0,5,4,7,6,0,3,3,3,0,2,1
18,2,3,Slight Injury,22,1,1,4,5,3,0,3,11,17,9,3,5,0,5,4,7,6,0,3,3,3,0,2,1
19,2,1,Serious Injury,8,5,4,4,4,2,0,2,9,3,9,2,5,0,5,2,7,1,0,3,0,0,3,1,1
20,2,1,Slight Injury,8,5,1,4,5,5,3,3,7,5,7,2,5,0,5,2,7,1,0,3,0,3,3,2,1
21,1,1,Serious Injury,15,4,1,4,0,2,0,2,16,4,2,3,5,0,5,2,0,4,0,3,0,0,3,1,1
22,2,1,Serious Injury,12,4,2,1,1,5,0,2,14,5,1,1,5,5,5,2,7,6,0,3,0,1,3,0,1
23,2,1,Serious Injury,12,4,3,4,0,5,1,2,1,9,4,7,5,6,5,2,7,4,0,3,0,1,3,1,1
24,2,3,Slight Injury,18,6,6,5,5,5,0,3,8,17,9,9,9,0,5,2,0,6,1,4,0,3,3,2,1
25,2,3,Slight Injury,18,6,1,4,1,3,0,2,13,15,9,2,8,6,5,2,0,6,0,3,0,0,3,0,1
26,2,3,Slight Injury,18,6,2,4,4,1,0,2,0,17,6,2,5,0,1,2,0,0,0,3,0,2,3,1,2
27,1,1,Slight Injury,14,0,1,0,5,1,0,3,1,0,0,2,5,0,5,2,1,4,0,3,0,3,3,2,1
28,2,1,Slight Injury,12,5,6,5,1,5,2,2,11,17,13,2,5,8,5,2,1,6,0,4,0,0,3,1,2
29,2,1,Slight Injury,12,5,0,5,0,5,0,1,15,5,4,2,5,4,5,2,1,6,0,3,0,0,3,1,1
30,1,1,Slight Injury,15,1,1,4,5,5,0,3,0,0,9,2,5,3,5,2,0,3,0,3,0,3,3,2,1
31,1,1,Slight Injury,18,4,3,4,0,4,0,2,12,0,9,3,5,3,5,2,1,4,0,0,0,0,3,1,1
32,2,1,Slight Injury,15,4,4,4,0,2,0,2,1,5,7,7,5,6,5,2,1,4,0,3,0,1,3,0,1
33,2,1,Slight Injury,15,4,1,4,5,5,1,3,10,0,9,9,5,0,5,2,1,6,0,0,0,3,3,2,2
34,2,1,Slight Injury,13,2,4,4,0,0,2,2,11,0,10,2,1,0,5,2,2,4,0,3,0,0,3,0,1
35,2,1,Slight Injury,13,2,2,2,4,1,0,2,10,0,10,2,1,4,6,2,2,4,0,3,0,2,3,1,1
36,2,2,Slight Injury,20,0,0,0,5,5,0,3,12,15,6,2,5,3,5,2,0,0,0,3,0,3,0,2,1
37,2,2,Slight Injury,20,0,4,4,0,1,2,1,13,17,9,2,1,0,5,2,0,4,0,3,0,0,0,0,1
38,2,2,Slight Injury,20,0,6,5,5,5,2,3,3,17,9,2,5,0,5,2,0,6,0,3,0,3,0,2,1
39,2,1,Slight Injury,16,3,4,2,0,5,2,2,0,0,5,2,5,1,5,2,1,6,0,3,0,0,3,0,1
40,2,1,Slight Injury,16,3,4,2,5,3,1,3,3,8,9,2,5,8,5,2,1,6,0,3,0,3,3,2,1
41,2,2,Slight Injury,21,3,6,5,1,2,1,2,0,17,2,2,5,8,5,2,1,6,0,3,0,0,0,0,1
42,2,2,Slight Injury,21,3,1,2,0,5,0,2,12,0,6,2,5,1,5,2,1,4,0,3,0,0,0,1,1
43,2,1,Slight Injury,9,6,3,4,4,5,0,2,10,9,6,2,7,8,1,2,7,2,0,3,0,2,3,1,1
44,2,1,Slight Injury,9,6,3,4,4,5,0,2,1,10,6,2,0,2,5,2,7,2,3,0,0,0,3,1,1
45,1,1,Serious Injury,14,0,2,4,5,1,1,3,1,4,7,2,7,8,5,2,7,4,0,3,0,3,3,2,1
46,2,1,Slight Injury,10,0,0,4,5,1,1,3,2,14,7,2,5,8,5,2,0,4,0,3,0,3,3,2,1
47,2,1,Slight Injury,10,0,4,5,0,5,1,2,10,12,9,2,5,8,5,2,0,2,0,3,0,0,3,0,1
48,2,1,Slight Injury,18,1,4,4,5,5,0,3,1,14,7,2,5,6,5,2,0,2,0,3,0,3,3,2,1
49,2,1,Slight Injury,18,1,1,2,0,4,0,1,0,0,7,2,6,8,5,2,0,4,0,3,0,0,3,1,1
50,2,1,Slight Injury,19,5,0,4,3,2,0,2,7,0,7,2,5,8,5,2,3,2,0,3,0,0,3,0,1
51,2,1,Slight Injury,19,5,2,4,5,2,1,3,13,7,7,2,5,8,5,2,3,4,0,0,0,3,3,2,1
52,2,3,Slight Injury,11,2,1,1,1,1,2,2,13,15,7,2,6,1,5,2,1,0,0,3,0,0,3,1,1
53,2,3,Slight Injury,11,2,2,1,1,5,1,2,10,0,7,2,5,8,5,2,1,2,0,3,0,0,3,1,1
54,2,3,Slight Injury,11,2,3,4,5,1,1,3,12,14,2,2,5,2,5,2,1,2,0,3,0,3,3,2,1
55,2,3,Slight Injury,11,2,2,4,0,2,0,2,16,0,7,2,5,8,5,2,1,4,0,3,0,1,3,0,2
56,2,1,Slight Injury,13,4,2,2,1,1,0,2,11,9,4,2,5,6,5,2,1,2,0,1,0,0,3,1,1
57,2,1,Slight Injury,13,4,2,4,5,5,1,3,10,17,9,2,5,8,5,2,1,0,0,3,0,3,3,2,1
58,2,1,Slight Injury,12,5,3,4,5,3,0,3,1,0,7,2,5,8,5,4,5,2,0,0,3,3,3,2,2
59,2,1,Slight Injury,12,5,0,4,0,5,2,2,3,5,6,2,5,8,5,4,5,2,3,3,3,0,3,1,1
60,2,1,Slight Injury,12,0,1,4,5,5,0,3,1,17,4,2,5,8,5,2,7,5,0,3,0,3,3,2,1
61,2,1,Slight Injury,12,0,0,4,5,0,1,3,16,11,4,2,5,8,5,2,7,0,0,3,0,3,3,2,1
62,2,1,Slight Injury,16,3,6,5,4,5,1,2,13,17,7,2,5,2,5,2,7,2,0,3,0,0,3,1,1
63,2,1,Slight Injury,16,3,2,1,5,3,1,3,4,9,3,2,5,8,5,2,7,2,0,1,0,3,3,2,1
64,2,1,Slight Injury,18,1,2,4,3,5,4,2,2,9,6,2,5,8,5,2,1,1,2,3,0,1,3,0,0
65,2,1,Slight Injury,18,1,3,4,1,1,1,2,19,0,2,2,5,2,5,2,1,4,0,3,0,1,3,0,1
66,2,1,Slight Injury,13,4,1,4,1,2,1,2,1,17,3,2,7,2,5,2,2,4,0,1,0,1,3,0,2
67,2,1,Slight Injury,13,4,3,4,0,3,0,2,10,0,6,11,5,8,5,2,2,6,5,3,0,0,3,1,1
